isolate_id,Country,Species,Host,Collection_Date,n_accessions,segments_present,n_segments,has_L,has_M,has_S,complete_records,segment_pattern
Kenya | ACCESSION_EU574017,Kenya,Phlebovirus riftense,Bos taurus,2007-01-29,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574018,Kenya,Phlebovirus riftense,Bos taurus,2007-01-31,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574019,Kenya,Phlebovirus riftense,Bos taurus,2007-01-31,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574020,Kenya,Phlebovirus riftense,Bos taurus,2007-01-25,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574021,Kenya,Phlebovirus riftense,Bos taurus,2007-01-29,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574022,Kenya,Phlebovirus riftense,Bos taurus,2007-01-29,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574023,Kenya,Phlebovirus riftense,Bos taurus,2007-01-29,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574024,Kenya,Phlebovirus riftense,Ovis aries,2007-01-26,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574025,Kenya,Phlebovirus riftense,Bos taurus,2007-01-16,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574026,Kenya,Phlebovirus riftense,Bos taurus,2007-01-16,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574027,Kenya,Phlebovirus riftense,Bos taurus,2007-01-16,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574028,Kenya,Phlebovirus riftense,Bos taurus,2007-01-16,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574029,Kenya,Phlebovirus riftense,Bos taurus,2007-01-12,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574030,Kenya,Phlebovirus riftense,Bos taurus,2007-01-12,1,L,1,TRUE,FALSE,FALSE,1,L only
Kenya | ACCESSION_EU574031,Kenya,Phlebovirus riftense,Bos taurus,2007-05-14,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574032,Kenya,Phlebovirus riftense,Bos taurus,2007-04-23,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574033,Kenya,Phlebovirus riftense,Ovis aries,2007-02-07,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574034,Kenya,Phlebovirus riftense,Bos taurus,2007-02-27,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574035,Kenya,Phlebovirus riftense,Bos taurus,2007-02-21,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574036,Kenya,Phlebovirus riftense,Bos taurus,2007-02-21,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574037,Kenya,Phlebovirus riftense,Bos taurus,2007-02-05,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574038,Kenya,Phlebovirus riftense,Bos taurus,2007-02-05,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574039,Kenya,Phlebovirus riftense,Bos taurus,2007-01-31,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574040,Kenya,Phlebovirus riftense,Capra hircus,2006-12-01,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574041,Kenya,Phlebovirus riftense,Capra hircus,2006-12-01,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574042,Kenya,Phlebovirus riftense,Bos taurus,2007-01-29,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574043,Kenya,Phlebovirus riftense,Bos taurus,2007-01-30,1,M,1,FALSE,TRUE,FALSE,1,M only
Kenya | ACCESSION_EU574044,Kenya,Phlebovirus riftense,Bos taurus,2007-01-29,1,M,1,FALSE,TRUE,FALSE,1,M only
