isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Egypt | ACCESSION_DQ380202,Egypt,ACCESSION_DQ380202,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380203,Egypt,ACCESSION_DQ380203,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380204,Egypt,ACCESSION_DQ380204,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380205,Egypt,ACCESSION_DQ380205,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380206,Egypt,ACCESSION_DQ380206,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ380207,Egypt,ACCESSION_DQ380207,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_EU312110,Egypt,ACCESSION_EU312110,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_EU312137,Egypt,ACCESSION_EU312137,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_EU312138,Egypt,ACCESSION_EU312138,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_GU953292,Egypt,ACCESSION_GU953292,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_NC_014395,Egypt,ACCESSION_NC_014395,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Egypt | ACCESSION_NC_014396,Egypt,ACCESSION_NC_014396,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_NC_014397,Egypt,ACCESSION_NC_014397,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Egypt | EGY-Bat-1/20,Egypt,EGY-Bat-1/20,2,M+S,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,M+S
Egypt | Egy-Bat-2/20,Egypt,Egy-Bat-2/20,2,M+S,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,M+S
Egypt | RVFV/VRLCU/Cairo4/2004,Egypt,RVFV/VRLCU/Cairo4/2004,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | RVFV/VRLCU/Cairo7/2004,Egypt,RVFV/VRLCU/Cairo7/2004,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | RVFV/VRLCU/Marsa Matrouh19/2004,Egypt,RVFV/VRLCU/Marsa Matrouh19/2004,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | ZH-548,Egypt,ZH-548,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Egypt | ZH548,Egypt,ZH548,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Gabon | 2019/7,Gabon,2019/7,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Gabon | 2019/Sample-108,Gabon,2019/Sample-108,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Gabon | 2019/Sample-120,Gabon,2019/Sample-120,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Gabon | 2019/Sample-166,Gabon,2019/Sample-166,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
